name,dob
Ian Holm,1931-09-12
Nathan Lane,1956-02-03
Cary Elwes,1962-10-26
Martin Lawrence,1965-04-16
Steve Coogan,1965-10-14
Sacha Baron Cohen,1971-10-13
Jeffrey Wright,1965-12-07
Jackie Chan,1954-04-07
Aaron Eckhart,1968-03-12
Sam Worthington,1976-08-02
Jack Davenport,1973-03-01
Alfred Molina,1953-05-24
Justin Bartha,1978-07-21
Mark Hamill,1951-09-25
Brendan Fraser,1968-12-03
Ice Cube,1969-06-15
Liev Schreiber,1967-10-04
Ed Helms,1974-01-24
Val Kilmer,1959-12-31
Russell Brand,1975-06-04
Craig T. Nelson,1944-04-04
Bernie Mac,1957-10-05
Patrick Stewart,1940-07-13
Seth Green,1974-02-08
Ashton Kutcher,1978-02-07
Randy Quaid,1950-10-01
Wesley Snipes,1962-07-31
Ludacris,1990-01-01
David Oyelowo,1976-04-01
Mark Strong,1990-01-01
Rob Schneider,1963-10-31
Jay Baruchel,1982-04-09
Hayden Christensen,1981-04-19
Ray Stevenson,1964-05-24
Paul Bettany,1971-05-27
Hugh Laurie,1959-06-11
Chris Tucker,1972-08-31
Nick Swardson,1976-10-09
Josh Lucas,1971-06-20
Chris O'Donnell,1990-01-01
Benjamin Bratt,1963-12-16
Common,1972-03-13
Johnny Knoxville,1971-03-11
Marlon Wayans,1972-07-23
Jai Courtney,1990-01-01
Albert Brooks,1947-07-22
Macaulay Culkin,1980-08-26
Sam Elliott,1944-08-09
Jim Caviezel,1990-01-01
Jared Harris,1961-08-24
Harpo Marx,1888-11-23
Jason Sudeikis,1975-09-18
Josh Hartnett,1978-07-21
Cillian Murphy,1976-05-25
Billy Crudup,1968-07-08
Christopher Mintz-Plasse,1989-06-20
Anthony Mackie,1979-09-23
Timothy Olyphant,1968-05-20
Josh Gad,1990-01-01
Luke Wilson,1971-09-21
Peter Sarsgaard,1971-03-07
Rhys Ifans,1968-07-22
Topher Grace,1978-07-12
Kevin Hart,1990-01-01
Paul Dano,1984-06-19
Lenny Kravitz,1964-05-26
Bill Hader,1978-06-07
Rob Lowe,1964-03-17
David Spade,1964-07-22
Rob Riggle,1970-04-21
Lance Henriksen,1940-05-05
Richard Jenkins,1947-05-04
Mike Vogel,1979-07-17
Michael Ealy,1973-08-03
Freddie Prinze Jr.,1976-03-08
Jamie Bell,1990-01-01
Danny McBride,1976-12-29
Jonathan Rhys Meyers,1977-07-27
Michael Cera,1988-06-07
Bill Paxton,1955-05-17
Chris Klein,1979-03-14
Ioan Gruffudd,1973-10-06
Andrew Lincoln,1973-09-14
Bill Pullman,1953-12-17
Craig Robinson,1990-01-01
Charlie Day,1976-02-09
Andy Samberg,1990-01-01
Garrett Hedlund,1984-09-03
Cam Gigandet,1982-08-16
John Krasinski,1979-10-20
Kevin James,1990-01-01
Breckin Meyer,1974-05-07
Christopher Reeve,1952-09-25
Rufus Sewell,1967-10-29
John Turturro,1957-02-28
Ned Beatty,1937-07-06
John Cleese,1939-10-27
James McAvoy,1979-04-21
Ertem Egilmez,1990-01-01
Akira Kurosawa,1910-03-23
Alfred Hitchcock,1899-08-13
Ingmar Bergman,1918-07-14
Steven Spielberg,1946-12-18
Billy Wilder,1906-06-22
Christopher Nolan,1970-07-30
Stanley Kubrick,1928-07-26
Martin Scorsese,1942-11-17
William Wyler,1902-07-01
Yasujirô Ozu,1903-12-12
Quentin Tarantino,1963-03-27
Hayao Miyazaki,1941-01-05
Francis Ford Coppola,1939-04-07
Mani Ratnam,1990-01-01
Peter Jackson,1961-10-31
Sergio Leone,1929-01-03
Luis Buñuel,1900-02-22
David Fincher,1962-08-28
Howard Hawks,1896-05-30
Fritz Lang,1890-12-05
Sidney Lumet,1924-06-25
Frank Capra,1897-05-18
Masaki Kobayashi,1990-01-01
George Cukor,1899-07-07
John Ford,1894-02-01
David Lean,1908-03-25
Jean-Luc Godard,1930-12-03
Andrei Tarkovsky,1932-04-04
Elia Kazan,1909-09-07
Federico Fellini,1920-01-20
Satyajit Ray,1921-05-02
Leonid Gayday,1990-01-01
Michael Curtiz,1886-12-24
Hrishikesh Mukherjee,1990-01-01
John Huston,1906-08-05
Mervyn LeRoy,1900-10-15
Eldar Ryazanov,1990-01-01
Mario Monicelli,1915-05-15
King Vidor,1894-02-08
Ethan Coen,1957-09-21
Slobodan Sijan,1990-01-01
Ernst Lubitsch,1892-01-28
Ridley Scott,1937-11-30
Sam Wood,1883-07-10
Luchino Visconti,1906-11-02
Yimou Zhang,1990-01-01
Kenji Mizoguchi,1898-05-16
Frank Darabont,1959-01-28
Richard Linklater,1960-07-30
Robert Zemeckis,1952-05-14
Emir Kusturica,1954-11-24
Raoul Walsh,1887-03-11
Roman Polanski,1933-08-18
Anurag Kashyap,1972-09-10
Jean-Pierre Melville,1917-10-20
James Cameron,1954-08-16
François Truffaut,1932-02-06
Milos Forman,1932-02-18
Michael Powell,1905-09-30
Georgiy Daneliya,1990-01-01
Vishal Bhardwaj,1990-01-01
Vittorio De Sica,1901-07-07
Atif Yilmaz,1990-01-01
Joseph L. Mankiewicz,1909-02-11
Zeki Ökten,1990-01-01
William A. Wellman,1990-01-01
F.W. Murnau,1888-12-28
Asghar Farhadi,1990-01-01
George Stevens,1904-12-18
Giuseppe Tornatore,1956-05-27
Jean Renoir,1894-09-15
Leo McCarey,1898-10-03
Yavuz Turgul,1990-01-01
Fred Zinnemann,1907-04-29
Preston Sturges,1898-08-29
Moustapha Akkad,1930-07-01
Rajkumar Hirani,1928-04-24
Edmund Goulding,1891-03-20
Nuri Bilge Ceylan,1990-01-01
Robert Wise,1914-09-10
Krzysztof Kieslowski,1941-06-27
Rob Reiner,1947-03-06
Jonathan Demme,1944-02-22
Emeric Pressburger,1902-12-05
Robert Bresson,1901-09-25
Srdjan Dragojevic,1990-01-01
Terry Gilliam,1940-11-22
Majid Majidi,1990-01-01
Lee Unkrich,1967-08-08
Rajkumar Santoshi,1990-01-01
Rainer Werner Fassbinder,1945-05-31
Louis Malle,1932-10-30
Nikita Mikhalkov,1945-10-21
John Cassavetes,1929-12-09
Stanley Kramer,1913-09-29
Béla Tarr,1990-01-01
Yash Chopra,1990-01-01
David Lynch,1946-01-20
Victor Fleming,1889-02-23
Werner Herzog,1942-09-05
Ron Howard,1954-03-01
Bryan Singer,1965-09-17
Çagan Irmak,1990-01-01
Ang Lee,1954-10-23
Dusan Kovacevic,1948-07-12
Cecil B. DeMille,1881-08-12
Wim Wenders,1945-08-14
Henri-Georges Clouzot,1907-11-20
Jack Conway,1887-07-17
Theodoros Angelopoulos,1935-04-17
Roberto Rossellini,1906-05-08
Michelangelo Antonioni,1912-09-29
Otto Preminger,1906-12-05
Robert Altman,1925-02-20
Dariush Mehrjui,1939-12-08
Ram Gopal Varma,1962-04-07
Hideaki Anno,1960-05-22
James Whale,1889-07-22
Nae Caranfil,1970-05-12
Richard Brooks,1990-01-01
Kar-Wai Wong,1990-01-01
Éric Rohmer,1920-04-04
Darren Aronofsky,1969-02-12
Carl Theodor Dreyer,1889-02-03
Jules Dassin,1911-12-18
Lucian Pintilie,1933-11-09
Josef von Sternberg,1894-05-29
Jean-Pierre Jeunet,1953-09-03
Goran Markovic,1990-01-01
Ashutosh Gowariker,1968-02-15
John Frankenheimer,1930-02-19
Andrzej Wajda,1926-03-06
Stanley Donen,1924-04-13
Lloyd Bacon,1889-12-04
Kenji Misumi,1921-03-02
Hirokazu Koreeda,1990-01-01
Marcel Carné,1909-08-18
Franklin J. Schaffner,1920-05-30
Carol Reed,1906-12-30
Abbas Kiarostami,1940-06-22
Takeshi Kitano,1947-01-18
Dragan Bjelogrlic,1990-01-01
Tim Burton,1958-08-25
W.S. Van Dyke,1889-03-21
Pietro Germi,1914-09-14
Brian De Palma,1940-09-11
Ettore Scola,1931-05-10
Wes Anderson,1969-05-01
George Roy Hill,1921-12-21
Zeki Demirkubuz,1990-01-01
Guy Ritchie,1968-09-10
Peter Bogdanovich,1939-07-30
Chan-wook Park,1990-01-01
Terry Jones,1942-02-01
Andrew Stanton,1965-12-03
Costa-Gavras,1933-02-12
Sam Mendes,1965-08-01
Michael Mann,1943-02-05
Nesli Çölgeçen,1990-01-01
Luis García Berlanga,1990-01-01
Paul Greengrass,1955-08-13
Robert Aldrich,1918-08-09
Alfonso Cuarón,1961-11-28
George Lucas,1944-05-14
Mamoru Oshii,1951-08-08
Kaneto Shindô,1990-01-01
John Woo,1946-09-23
Luc Besson,1959-03-18
Pedro Almodóvar,1949-09-24
Alain Resnais,1922-06-03
Danny Boyle,1956-10-20
Victor Sjöström,1990-01-01
Tomás Gutiérrez Alea,1928-12-11
Lars von Trier,1956-04-30
William Dieterle,1893-07-15
D.W. Griffith,1875-01-22
Lilly Wachowski,1967-12-29
Farhan Akhtar,1974-01-09
Nicholas Ray,1911-08-07
Jacques Becker,1906-09-15
Arthur Penn,1922-09-27
Vladimir Menshov,1990-01-01
Hiroshi Teshigahara,1927-01-28
Claude Berri,1934-07-01
Thomas Vinterberg,1990-01-01
Jim Jarmusch,1953-01-22
Kátia Lund,1990-01-01
Max Ophüls,1990-01-01
Irvin Kershner,1923-04-29
Mike Leigh,1943-02-20
Peter Weir,1944-08-21
Lasse Hallström,1990-01-01
Edward Sedgwick,1892-11-07
John McTiernan,1951-01-08
Paul Thomas Anderson,1970-06-26
John Sturges,1910-01-03
Wen Jiang,1990-01-01
Henry King,1886-01-24
Bozidar 'Bota' Nikolic,1990-01-01
Isao Takahata,1935-10-29
Fernando Meirelles,1955-11-09
Shôhei Imamura,1926-09-15
Sam Peckinpah,1925-02-21
Oliver Stone,1946-09-15
Tony Kaye,1946-01-11
Orhan Aksoy,1990-01-01
Shimit Amin,1990-01-01
Yasuzô Masumura,1990-01-01
Brad Bird,1957-09-24
Alan Parker,1990-01-01
Ken Loach,1936-06-17
Aki Kaurismäki,1990-01-01
Jirí Menzel,1938-02-23
John Cromwell,1887-12-23
Chang-dong Lee,1954-04-01
Blake Edwards,1922-07-26
Jim Sheridan,1949-02-06
Ronald Neame,1911-04-23
Hal Ashby,1929-09-02
Sergei M. Eisenstein,1990-01-01
Michael Haneke,1942-03-23
Juan José Campanella,1959-07-19
William Friedkin,1935-08-29
Vincente Minnelli,1903-02-28
Edward Zwick,1952-10-08
Denis Villeneuve,1967-10-03
Yoshishige Yoshida,1933-02-16
Marco Tullio Giordana,1950-10-01
Don Siegel,1912-10-26
Goran Paskaljevic,1947-04-22
Damián Szifrón,1990-01-01
Shekhar Kapur,1945-12-01
Ki-duk Kim,1990-01-01
Spike Lee,1957-03-20
Yôji Yamada,1931-09-13
Fatih Akin,1973-08-25
Serdar Akar,1990-01-01
Edward Yang,1947-11-06
Mikhail Kalatozov,1903-12-28
